Doc_Number,Document_Name,Category,Document_Type,Status,Notes
004,Community Workforce Agreement,,Standard,Missing,Located in Appendix Z1
006,Appendix A1 (Appendices List),,Standard,Missing,13-page reference list (592 appendices)
007,WSDOT Identified Betterments (Exhibit B),,Standard,Missing,TO BE IDENTIFIED LATER
052,Electronic Files,A - Project Files,Appendix,Missing,
053,Photos,A - Project Files,Appendix,Missing,
054,SR520 Differential Level Report,A - Project Files,Appendix,Missing,
055,SR520 GPS Control Network,A - Project Files,Appendix,Missing,
057,FB&L As-Built Plans Volume 01,A-B - As-Built Plans and Construction,Appendix,Missing,
058,FB&L As-Built Plans Volume 02,A-B - As-Built Plans and Construction,Appendix,Missing,
059,FB&L As-Built Plans Volume 03,A-B - As-Built Plans and Construction,Appendix,Missing,
060,FB&L As-Built Plans Volume 04,A-B - As-Built Plans and Construction,Appendix,Missing,
061,FB&L As-Built Plans Volume 05,A-B - As-Built Plans and Construction,Appendix,Missing,
062,FB&L As-Built Plans Volume 06,A-B - As-Built Plans and Construction,Appendix,Missing,
063,FB&L As-Built Plans Volume 06a,A-B - As-Built Plans and Construction,Appendix,Missing,
064,FB&L As-Built Plans Volume 06b,A-B - As-Built Plans and Construction,Appendix,Missing,
065,FB&L As-Built Plans Volume 07,A-B - As-Built Plans and Construction,Appendix,Missing,
066,FB&L As-Built Plans Volume 07a,A-B - As-Built Plans and Construction,Appendix,Missing,
067,FB&L As-Built Plans Volume 08,A-B - As-Built Plans and Construction,Appendix,Missing,
068,FB&L As-Built Plans Volume 09,A-B - As-Built Plans and Construction,Appendix,Missing,
069,FB&L As-Built Plans Volume 10,A-B - As-Built Plans and Construction,Appendix,Missing,
070,FB&L As-Built Plans Volume 11,A-B - As-Built Plans and Construction,Appendix,Missing,
071,FB&L As-Built Plans Volume 12,A-B - As-Built Plans and Construction,Appendix,Missing,
072,FB&L As-Built Plans Volume 13,A-B - As-Built Plans and Construction,Appendix,Missing,
073,FB&L As-Built Plans Volume 14a,A-B - As-Built Plans and Construction,Appendix,Missing,
074,FB&L As-Built Plans Volume 14b,A-B - As-Built Plans and Construction,Appendix,Missing,
075,FB&L As-Built Plans Volume 14c,A-B - As-Built Plans and Construction,Appendix,Missing,
076,FB&L As-Built Plans Volume 14d,A-B - As-Built Plans and Construction,Appendix,Missing,
077,FB&L As-Built Plans Volume 15,A-B - As-Built Plans and Construction,Appendix,Missing,
078,FB&L As-Built Plans Volume 15a,A-B - As-Built Plans and Construction,Appendix,Missing,
079,FB&L As-Built Plans Volume 16,A-B - As-Built Plans and Construction,Appendix,Missing,
080,FB&L As-Built Plans Volume 17,A-B - As-Built Plans and Construction,Appendix,Missing,
081,FB&L As-Built Plans Volume 18,A-B - As-Built Plans and Construction,Appendix,Missing,
082,FB&L As-Built Plans Volume 19,A-B - As-Built Plans and Construction,Appendix,Missing,
083,Montlake Blvd & 24th Ave Bridges,A-B - As-Built Plans and Construction,Appendix,Missing,
084,Montlake Property As-Builts,A-B - As-Built Plans and Construction,Appendix,Missing,
085,SR 520 Ramps Over Arboretum,A-B - As-Built Plans and Construction,Appendix,Missing,
086,Sound Transit Horizontal Vertical Control,A-B - As-Built Plans and Construction,Appendix,Missing,
087,Sound Transit ROW Plans,A-B - As-Built Plans and Construction,Appendix,Missing,
088,Sound Transit Tunnel Plan Profile,A-B - As-Built Plans and Construction,Appendix,Missing,
089,U220 Basis of Design Report,A-B - As-Built Plans and Construction,Appendix,Missing,
090,U220 Conformed Specifications,A-B - As-Built Plans and Construction,Appendix,Missing,
091,U220 Final Calcs Tunnels,A-B - As-Built Plans and Construction,Appendix,Missing,
092,U220 GBR IFC,A-B - As-Built Plans and Construction,Appendix,Missing,
093,U220 Precast Segmental Tunnel Lining Design,A-B - As-Built Plans and Construction,Appendix,Missing,
094,U220 TBM Tunnels Final As-Builts,A-B - As-Built Plans and Construction,Appendix,Missing,
095,U220 TBM Tunnels IFC Part 1,A-B - As-Built Plans and Construction,Appendix,Missing,
096,U220 TBM Tunnels IFC Part 2,A-B - As-Built Plans and Construction,Appendix,Missing,
097,Union Bay Bridge,A-B - As-Built Plans and Construction,Appendix,Missing,
098,WABN As-Built Plans Volume 01,A-B - As-Built Plans and Construction,Appendix,Missing,
099,WABN As-Built Plans Volume 02,A-B - As-Built Plans and Construction,Appendix,Missing,
100,WABN As-Built Plans Volume 03,A-B - As-Built Plans and Construction,Appendix,Missing,
101,WABN As-Built Plans Volume 04,A-B - As-Built Plans and Construction,Appendix,Missing,
102,WABN As-Built Plans Volume 05,A-B - As-Built Plans and Construction,Appendix,Missing,
103,WABN As-Built Plans Volume 06,A-B - As-Built Plans and Construction,Appendix,Missing,
104,WABN As-Built Plans Volume 07,A-B - As-Built Plans and Construction,Appendix,Missing,
105,WABN As-Built Plans Volume 08,A-B - As-Built Plans and Construction,Appendix,Missing,
106,WABN As-Built Plans Volume 09,A-B - As-Built Plans and Construction,Appendix,Missing,
107,WABN As-Built Plans Volume 10,A-B - As-Built Plans and Construction,Appendix,Missing,
108,WABN Calculations,A-B - As-Built Plans and Construction,Appendix,Missing,
109,WABN Construction Contract Plans,A-B - As-Built Plans and Construction,Appendix,Missing,
110,WABN Construction Contract Provisions,A-B - As-Built Plans and Construction,Appendix,Missing,
111,WABN DCRs & IDRs Part 1,A-B - As-Built Plans and Construction,Appendix,Missing,
112,WABN DCRs & IDRs Part 2,A-B - As-Built Plans and Construction,Appendix,Missing,
115,WABN RFI Log,A-B - As-Built Plans and Construction,Appendix,Missing,
116,WABN RFI Questions & Answers,A-B - As-Built Plans and Construction,Appendix,Missing,
117,WCB As-Built,A-B - As-Built Plans and Construction,Appendix,Missing,
118,WCB Disc Bearings,A-B - As-Built Plans and Construction,Appendix,Missing,
119,West Approach Bridge,A-B - As-Built Plans and Construction,Appendix,Missing,
121,General Special Provisions,B - Specifications,Appendix,Missing,
122,Instructions for GSP,B - Specifications,Appendix,Missing,
123,King County Metro Electrical Specification,B - Specifications,Appendix,Missing,
124,NWR Electrical GSP Instructions,B - Specifications,Appendix,Missing,
125,NWR Electrical General Special Provisions,B - Specifications,Appendix,Missing,
126,NWR ITS GSP,B - Specifications,Appendix,Missing,
127,NWR ITS GSP Instructions,B - Specifications,Appendix,Missing,
128,NWR Landscape GSP,B - Specifications,Appendix,Missing,
129,NWR Landscape GSP Instructions,B - Specifications,Appendix,Missing,
130,NWR Miscellaneous GSP,B - Specifications,Appendix,Missing,
131,NWR Miscellaneous GSP Instructions,B - Specifications,Appendix,Missing,
132,Seattle Standard Specifications 2017,B - Specifications,Appendix,Missing,
133,Standard Specifications (M 41-10),B - Specifications,Appendix,Missing,
134,Steel Escalation Cost Adjustment,B - Specifications,Appendix,Missing,
137,Bridge Deck Protection System,D - Manuals,Appendix,Missing,
138,Bridge Design Manual,D - Manuals,Appendix,Missing,
139,Bridge Design Minimum Requirements,D - Manuals,Appendix,Missing,
140,Bridge Inspection Manual,D - Manuals,Appendix,Missing,
141,Bridge Paving Projects,D - Manuals,Appendix,Missing,
142,Communications Manual,D - Manuals,Appendix,Missing,
143,Construction Manual,D - Manuals,Appendix,Missing,
144,DOE Sewage Works Design Criteria,D - Manuals,Appendix,Missing,
145,DOH Water System Manual,D - Manuals,Appendix,Missing,
146,Design Manual,D - Manuals,Appendix,Missing,
147,ET 31 ET Plus Guardrail Terminal Memo,D - Manuals,Appendix,Missing,
148,Electronic Engineering Data Standards,D - Manuals,Appendix,Missing,
149,Environmental Manual,D - Manuals,Appendix,Missing,
150,FHWA Flexibility In Highway Design,D - Manuals,Appendix,Missing,
151,FHWA MUTCD,D - Manuals,Appendix,Missing,
152,FHWA Traffic Control Systems Handbook,D - Manuals,Appendix,Missing,
153,Geotechnical Design Manual,D - Manuals,Appendix,Missing,
154,Highway Runoff Manual,D - Manuals,Appendix,Missing,
155,Highway Surveying Manual,D - Manuals,Appendix,Missing,
156,Hydraulics Manual,D - Manuals,Appendix,Missing,
157,King County Road Design Standards,D - Manuals,Appendix,Missing,
158,Local Agency Guidelines,D - Manuals,Appendix,Missing,
159,Maintenance Manual,D - Manuals,Appendix,Missing,
160,Materials Manual,D - Manuals,Appendix,Missing,
161,NWR Area 5 Vegetation Management Plan,D - Manuals,Appendix,Missing,
162,NWR HOV Design Guide,D - Manuals,Appendix,Missing,
163,Organizational Conflicts of Interest Manual,D - Manuals,Appendix,Missing,
164,Pavement Surface Condition Rating Manual,D - Manuals,Appendix,Missing,
165,Plans Preparation Manual,D - Manuals,Appendix,Missing,
166,Positive Moment Strand Extension,D - Manuals,Appendix,Missing,
167,Pre-Bent Stirrups Prestressed Girders,D - Manuals,Appendix,Missing,
168,Right of Way Manual,D - Manuals,Appendix,Missing,
169,Roadside Classification Plan,D - Manuals,Appendix,Missing,
170,Roadside Manual,D - Manuals,Appendix,Missing,
171,SDOT ADA Curb Ramp Assessment Policy,D - Manuals,Appendix,Missing,
172,SDOT APS Installation Requirements,D - Manuals,Appendix,Missing,
173,SDOT Companion Ramp Requirements,D - Manuals,Appendix,Missing,
174,SDOT Curb Ramp Construction Tolerances,D - Manuals,Appendix,Missing,
175,SDOT Curb Ramp Flares-Wings Policy,D - Manuals,Appendix,Missing,
176,SDOT Curb Ramps T-Intersections,D - Manuals,Appendix,Missing,
177,SDOT MEF Documentation Curb Ramp,D - Manuals,Appendix,Missing,
178,SPU Design Standards,D - Manuals,Appendix,Missing,
179,Scour Requirements,D - Manuals,Appendix,Missing,
180,Seattle CAD Manual,D - Manuals,Appendix,Missing,
181,Seattle City Light Stock Catalog,D - Manuals,Appendix,Missing,
182,Seattle ROW Improvements Manual,D - Manuals,Appendix,Missing,
183,Seattle ROWORR,D - Manuals,Appendix,Missing,
184,Seattle Standard Plans 2017,D - Manuals,Appendix,Missing,
185,Seattle Traffic Control Manual,D - Manuals,Appendix,Missing,
186,Sign Fabrication Manual,D - Manuals,Appendix,Missing,
187,Standard Plans,D - Manuals,Appendix,Missing,
188,Temporary Erosion Sediment Control Manual,D - Manuals,Appendix,Missing,
189,Traffic Manual,D - Manuals,Appendix,Missing,
190,Utilities Accommodation Policy,D - Manuals,Appendix,Missing,
191,Utilities Manual,D - Manuals,Appendix,Missing,
192,WA MUTCD Modifications,D - Manuals,Appendix,Missing,
193,Wide Flange Deck Bulb Tee Girders UHPC,D - Manuals,Appendix,Missing,
194,Work Zone Traffic Control Guidelines,D - Manuals,Appendix,Missing,
196,Administrative Order Amendment,E - Environmental,Appendix,Missing,
197,Analytical Data Lab 1805-191B,E - Environmental,Appendix,Missing,
198,Aquatic Wetland Mitigation Addendum 5,E - Environmental,Appendix,Missing,
199,Biological Assessment,E - Environmental,Appendix,Missing,
200,Bridge 513-10 Good Faith Survey,E - Environmental,Appendix,Missing,
201,Bridge 520 3 and 3E-N Survey,E - Environmental,Appendix,Missing,
202,Bridge 520 6A and 6N-E Survey,E - Environmental,Appendix,Missing,
203,Bridge 520-5 and 5A Survey,E - Environmental,Appendix,Missing,
204,Bridges 520 6 7.5N 7.5 7.7S Survey,E - Environmental,Appendix,Missing,
205,Bubble Curtain Plans,E - Environmental,Appendix,Missing,
206,Community Construction Management Plan,E - Environmental,Appendix,Missing,
207,Construction Noise Variance Decision,E - Environmental,Appendix,Missing,
208,DOE Petroleum Remediation Guidance,E - Environmental,Appendix,Missing,
209,Environmental Constraints Plan,E - Environmental,Appendix,Missing,
210,Environmental Project Description,E - Environmental,Appendix,Missing,
211,FB&L Demo Test Results,E - Environmental,Appendix,Missing,
212,Final Aquatic Mitigation Plan,E - Environmental,Appendix,Missing,
213,Final Environmental Impact Statement,E - Environmental,Appendix,Missing,
214,Final Wetland Mitigation Report,E - Environmental,Appendix,Missing,
215,Fish Exclusion Protocols Standards,E - Environmental,Appendix,Missing,
216,Foster Island Treatment Plan,E - Environmental,Appendix,Missing,
217,Hazardous Materials Baseline Report,E - Environmental,Appendix,Missing,
218,Hazardous Materials Report Addendum,E - Environmental,Appendix,Missing,
219,Historic Properties Archaeologically Sensitive Areas,E - Environmental,Appendix,Missing,
220,MTCA Exceedances WABN Geotechnical,E - Environmental,Appendix,Missing,
221,Montlake Phase Noise Variance Application,E - Environmental,Appendix,Missing,
222,NEPA FB&L Reevaluation,E - Environmental,Appendix,Missing,
223,NEPA-SEPA Additional Moorage Buoys,E - Environmental,Appendix,Missing,
224,NEPA-SEPA Channel Marker Repair,E - Environmental,Appendix,Missing,
225,NEPA-SEPA Construction Truck Trips,E - Environmental,Appendix,Missing,
226,NEPA-SEPA Eastside Haul Routes,E - Environmental,Appendix,Missing,
227,NEPA-SEPA Eastside Staging Area,E - Environmental,Appendix,Missing,
228,NEPA-SEPA FB&L Construction Changes,E - Environmental,Appendix,Missing,
229,NEPA-SEPA FB&L Final Design Features,E - Environmental,Appendix,Missing,
230,NEPA-SEPA FB&L Final Design Features,E - Environmental,Appendix,Missing,
231,NEPA-SEPA Floating Bridge Demolition,E - Environmental,Appendix,Missing,
232,NEPA-SEPA Geotechnical Investigation,E - Environmental,Appendix,Missing,
233,NEPA-SEPA Geotechnical Investigations,E - Environmental,Appendix,Missing,
234,NEPA-SEPA Kenmore Yard Reevaluation,E - Environmental,Appendix,Missing,
235,NEPA-SEPA Kenmore Yard Update,E - Environmental,Appendix,Missing,
236,NEPA-SEPA Kenmore Yard Update,E - Environmental,Appendix,Missing,
237,NEPA-SEPA Montlake Construction Limits,E - Environmental,Appendix,Missing,
238,NEPA-SEPA Montlake Market Closure,E - Environmental,Appendix,Missing,
239,NEPA-SEPA PATON Buoy Strings,E - Environmental,Appendix,Missing,
240,NEPA-SEPA Pontoon Repairs Coffer Cell,E - Environmental,Appendix,Missing,
241,NEPA-SEPA Pontoon Repairs Vigor,E - Environmental,Appendix,Missing,
242,NEPA-SEPA Pontoon Tacoma Blair Berth,E - Environmental,Appendix,Missing,
243,NEPA-SEPA Pontoon Tacoma Terminal 7,E - Environmental,Appendix,Missing,
244,NEPA-SEPA Rescind Stormwater Changes,E - Environmental,Appendix,Missing,
245,NEPA-SEPA Section 106 Amendment,E - Environmental,Appendix,Missing,
246,NEPA-SEPA Tolling Equipment,E - Environmental,Appendix,Missing,
247,NEPA-SEPA Tolling Equipment Installation,E - Environmental,Appendix,Missing,
248,NEPA-SEPA WABN,E - Environmental,Appendix,Missing,
249,NEPA-SEPA WABN Foster Island Design,E - Environmental,Appendix,Missing,
250,NEPA-SEPA WABN Foster Island Refinements,E - Environmental,Appendix,Missing,
251,NEPA-SEPA WABS Montlake Lid,E - Environmental,Appendix,Missing,
252,NEPA-SEPA WCB Reevaluation,E - Environmental,Appendix,Missing,
253,NEPA-SEPA Westside Staging Area,E - Environmental,Appendix,Missing,
254,NEPA-SEPA Wetland Mitigation Addendum,E - Environmental,Appendix,Missing,
255,NPDES Construction Stormwater Permit,E - Environmental,Appendix,Missing,
256,Neighborhood Traffic Management Plan,E - Environmental,Appendix,Missing,
257,Noise Variance Notification Map,E - Environmental,Appendix,Missing,
258,Permit Plans - Coast Guard,E - Environmental,Appendix,Missing,
259,Permit Plans - Corps,E - Environmental,Appendix,Missing,
260,Permit Plans - Seattle Shoreline,E - Environmental,Appendix,Missing,
261,Permit Plans - WDFW Ecology,E - Environmental,Appendix,Missing,
262,Phase I ESA Montlake Gas Station,E - Environmental,Appendix,Missing,
263,Phase II ESA - Exterior,E - Environmental,Appendix,Missing,
264,Phase II ESA East Montlake Place,E - Environmental,Appendix,Missing,
265,Phase II ESA Eastbound Off-Ramp,E - Environmental,Appendix,Missing,
266,Pile Driving Flow Chart,E - Environmental,Appendix,Missing,
267,Record of Decision,E - Environmental,Appendix,Missing,
268,Recycled Concrete Aggregate PCCP,E - Environmental,Appendix,Missing,
269,SEPA FB&L Addendum,E - Environmental,Appendix,Missing,
270,SEPA Public Place Authorization,E - Environmental,Appendix,Missing,
271,SEPA Public Place Designation,E - Environmental,Appendix,Missing,
272,Seattle Noise Variance Application Attachment,E - Environmental,Appendix,Missing,
273,Seattle Olmsted Park Furniture Standards,E - Environmental,Appendix,Missing,
274,Section 106 Agreement Amendment 1,E - Environmental,Appendix,Missing,
275,Section 106 Programmatic Agreement,E - Environmental,Appendix,Missing,
276,Sustainability Performance Relationships,E - Environmental,Appendix,Missing,
277,TESC Plan Narrative Template,E - Environmental,Appendix,Missing,
278,Tree Vegetation Management Protection Plan,E - Environmental,Appendix,Missing,
279,Unanticipated Discovery Plan,E - Environmental,Appendix,Missing,
280,WABN Construction Testing Results,E - Environmental,Appendix,Missing,
281,WABN Gas Monitoring Report 5,E - Environmental,Appendix,Missing,
282,WABN Landfill Gas Monitoring Logs,E - Environmental,Appendix,Missing,
283,West Approach ESA Reinitiation,E - Environmental,Appendix,Missing,
284,West Approach Salmonid Migration Zone,E - Environmental,Appendix,Missing,
285,Wetland Aquatic Mitigation Addendum 7&4,E - Environmental,Appendix,Missing,
287,Contract Bond Form,F - Forms,Appendix,Missing,
288,DRB Administrative Procedures,F - Forms,Appendix,Missing,
289,DRB State Member Scope,F - Forms,Appendix,Missing,
290,Environmental Site Assessment Form,F - Forms,Appendix,Missing,
291,Manufacturer Certificate Compliance Form,F - Forms,Appendix,Missing,
292,ROM Sample,F - Forms,Appendix,Missing,
293,Report of Survey Mark Form,F - Forms,Appendix,Missing,
294,Traffic Control Daily Log,F - Forms,Appendix,Missing,
295,Traffic Control Daily Report Summary,F - Forms,Appendix,Missing,
297,Existing Geotechnical Data Report,G - Geotechnical,Appendix,Missing,
298,Geotechnical Baseline Report,G - Geotechnical,Appendix,Missing,
299,Geotechnical Data Report,G - Geotechnical,Appendix,Missing,
300,Geotechnical Data Report Addendum,G - Geotechnical,Appendix,Missing,
301,Geotechnical Documents Limitations,G - Geotechnical,Appendix,Missing,
302,Montlake WABN Condition Survey,G - Geotechnical,Appendix,Missing,
303,Revised Seismic Ground Motions,G - Geotechnical,Appendix,Missing,
304,Seattle Yacht Club Bulkhead Inspection,G - Geotechnical,Appendix,Missing,
305,Seismic Design Technical Memorandum,G - Geotechnical,Appendix,Missing,
306,Summary Previous Construction Activities,G - Geotechnical,Appendix,Missing,
307,Supplemental Preliminary Engineering Memo,G - Geotechnical,Appendix,Missing,
308,Test Pile Geotechnical Data Report,G - Geotechnical,Appendix,Missing,
309,U-Link Moment-Thrust Capacity Calculations,G - Geotechnical,Appendix,Missing,
310,Union Bay Bridge Pile Driving Info,G - Geotechnical,Appendix,Missing,
311,WAB South Frame 5 Soil-Structure Modeling,G - Geotechnical,Appendix,Missing,
312,WABN 24th Ave Field Reports,G - Geotechnical,Appendix,Missing,
313,WABN 24th Ave Shoring Plan,G - Geotechnical,Appendix,Missing,
314,WABN Change Order 44,G - Geotechnical,Appendix,Missing,
315,WABN Construction Photos,G - Geotechnical,Appendix,Missing,
316,WABN Geotechnical Attach F App B,G - Geotechnical,Appendix,Missing,
317,WABN Geotechnical Attach F App D,G - Geotechnical,Appendix,Missing,
318,WABN Geotechnical Attach F App E,G - Geotechnical,Appendix,Missing,
319,WABN Geotechnical Engineering Report,G - Geotechnical,Appendix,Missing,
320,WABN Geotechnical Report Addendum,G - Geotechnical,Appendix,Missing,
321,WCB Geotechnical Report,G - Geotechnical,Appendix,Missing,
322,West Approach Bridge Pile Driving Info,G - Geotechnical,Appendix,Missing,
323,West Approach Geologic Characterization,G - Geotechnical,Appendix,Missing,
324,West Approach Geologic Characterization Addendum,G - Geotechnical,Appendix,Missing,
325,Westside Bike-Pedestrian Facilities Memo,G - Geotechnical,Appendix,Missing,
326,Westside Montlake Lid Land Bridge Memo,G - Geotechnical,Appendix,Missing,
327,Westside Stormwater Facilities Memo,G - Geotechnical,Appendix,Missing,
329,Conceptual Supplemental Hydraulic Report,H - Hydraulics,Appendix,Missing,
330,DIPRA Ductile Iron Pipe Supports,H - Hydraulics,Appendix,Missing,
331,Drainage Maintenance Manual Plan Sheets,H - Hydraulics,Appendix,Missing,
332,FB&L As-Built Hydraulic Report,H - Hydraulics,Appendix,Missing,
333,Hydraulic Report Template,H - Hydraulics,Appendix,Missing,
334,Program Level Hydraulic Report,H - Hydraulics,Appendix,Missing,
